{'text': '对，输给一个女人，的成绩。失望', 'entities': '人物：说话者（未知）\n地名：无\n机构：无\n位置：未知'}
{'text': '在山路之上，有一汽车驶近，路过寺庙门旁，见一小和尚高举回头是岸横幅，大喊：施主看这里车内一年轻人隔窗笑骂：傻逼瞬间飞驰转弯而去。秒钟后，碰撞惨叫坠落声传来。当晚，禅房内，小和尚对住持说：师父，是不是还是直接写前方桥梁已断好一些？', 'entities': '人物：小和尚、一年轻人、住持；地名：寺庙；机构：禅房；位置：山路、车内、前方桥梁。'}
{'text': '成都电信到底有没的时间观念哦，一托再托，日妈我们时间就不是时间哇，等了你两天啥子速度。说好的三点现在都几点了哦，电话没人接。成都电信智慧生活', 'entities': '人物：无\n地名：成都\n机构：成都电信\n位置：无'}
{'text': '小编辛苦了，好活动，我来参加了，期待中奖我们相信的爱情游手好闲拼搏的幸福', 'entities': '人物：小编\n地名：无\n机构：无\n位置：无'}
{'text': '是妇女的转宇宙花应俏妞泰雅小馨', 'entities': '人物：应俏妞、泰雅小馨\n地名：转宇宙花'}
{'text': '假行僧老巩站台有风险，辟谣需谨慎退休的方进玉哈哈说了多少次，官府辟谣要慎重，有人就是不听', 'entities': '人物：假行僧老巩、方进玉\n地名：无\n机构：官府\n位置：站台'}
{'text': '我已成为微博准会员，刚刚获得了准会员专属勋章，八种特权免费享开通会员，更多特权，等你体验', 'entities': '人物：我\n机构：微博\n地名：无\n位置：无'}
{'text': '对，自豪感是没有错，然而一个过于主观的想法是没有多大意义的，可是，要搞清楚，这种隆重所衬托出的繁华的背后是怎样的情景，一个国家以民为本，那么誰可以告诉我，还有什么可以比人民的利益更重要的？', 'entities': '人物：无\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民每天懂点风水学手机充电的时候千万不要接打电话会爆炸的关爱自己，关爱家人转敬请关注安卓精选', 'entities': '人物：赵新民\n地名：无\n机构：安卓精选\n位置：无'}
{'text': '美丽俊逸的阿拉伯马美国的阿拉伯马分享自土豆网科技', 'entities': '人物：无\n地名：美国\n机构：土豆网科技\n位置：无'}
{'text': '周末在闽江旁发现一不明生物。。。疑似海狮', 'entities': '人物：未提及\n地名：闽江\n机构：未提及\n位置：闽江旁'}
{'text': '点解可以咁得意林小柑最愛', 'entities': '人物：林小柑\n地名：无\n机构：无\n位置：无'}
{'text': '我也觉得只有你，会想我花心花心花心花心小的妈咪无时无刻都在想你爱你爱你爱你暗英小英转发微博', 'entities': '人物：我、你、妈咪、暗英、小英\n地名：无\n机构：无\n位置：无'}
{'text': '也许前途会有很多坎坷，也许总有些想挑事的人，但是我们一定会好好的幸福的生活下去的相信我爱你晚安逸桦君', 'entities': '人物：我、你、逸桦君\n地名：无\n机构：无\n位置：无'}
{'text': '老太太说：当你不去旅行，不去冒险，不去谈一场恋爱，不去尝试没试过的生活，只是每天挂着，刷着微博，逛着淘宝，干着我岁都能做的事情你要青春有毛线用。。', 'entities': '人物：老太太\n地名：无\n机构：无\n位置：无'}
{'text': '能遇见就很幸福，段林希你要始终相信你就是最棒的，记得答应过自己的事情，我知道你知道自己最想要的是什么，我们和你一起加油。', 'entities': '人物：段林希\n地名：无\n机构：无\n位置：无'}
{'text': '路飞耳可木木三林大小姐的零食罐', 'entities': '人物：路飞、耳可木木、三林大小姐\n地名：无\n机构：无\n位置：未确定，只知道零食罐属于路飞、耳可木木或三林大小姐中的某一个人。'}
{'text': '帮朋友接新娘刚回来，回家第一件事红包全部上交，这一点我表示很满意，做得不错爱你我在', 'entities': '人物：朋友、新娘\n地名：无\n机构：无\n位置：家'}
{'text': '女人最美的时候之一：拿着手机看信息不知不觉笑了的时候', 'entities': '人物：女人\n地名：无\n机构：无\n位置：拿着手机的地方'}
{'text': '精选星爷经典作品精彩混剪威武', 'entities': '人物：星爷\n地名：无\n机构：无\n位置：无'}
{'text': '花开半夏看了很心疼，能不能不要这么虐心啊泪泪泪，真的很好看，期待如画和如风在一起林申我在', 'entities': '人物：花开半夏、林申\n地名：无\n机构：无\n位置：无'}
{'text': '您的好友为您推荐一款流量管理的软件：流量咔咔。', 'entities': '人物：您的好友\n地名：无\n机构：无\n位置：无'}
{'text': '兔年十二星座最红桃花最红天秤；双鱼；狮子；水瓶；金牛；射手。人緣最红天秤；巨蟹；天蝎；射手；双子；双鱼。事业最红天秤；狮子；水瓶；白羊；双鱼；魔羯。祝协会各位姐妹有各样的红哈', 'entities': '人物：天秤、双鱼、狮子、水瓶、金牛、射手、巨蟹、天蝎、双子、白羊、魔羯。\n地名和位置：无。\n机构：祝协会。'}
{'text': '我好像经常就是这样，明明不想让妈妈生气，却又烦她的唠叨做鬼脸', 'entities': '人物：我，妈妈\n地名：无\n机构：无\n位置：无'}
{'text': '女人一定要对自己好一点。一旦累死了，就别的女人花你的钱，住你的房，睡你的老公，还打你的孩子。', 'entities': '人物：女人、别的女人、你的孩子\n地名：无\n机构：无\n位置：无'}
{'text': '酷酷傲娇的喵小咪支持下，帮的转发啤酒酱核桃小姐讷讷大龄非文艺女青年之邵小敏金牛寵愛摩羯我不是杨天宁难道你是', 'entities': '人物：喵小咪、啤酒酱、核桃小姐、邵小敏、我、杨天宁\n地名：无\n机构：无\n位置：无'}
{'text': '普通青年，文艺青年，二逼青年，你是哪一种？经鉴定，青梅枯萎竹马老去我依然有你你是卖萌青年，不只是我这么说，系统可都认证了的哦你们身边是不是也潜伏着各种二逼苦逼青年呢？偷笑来测一下：', 'entities': '人物：普通青年、文艺青年、二逼青年、你\n地名：无\n机构：系统\n位置：身边'}
{'text': '今儿成人礼了骑单车的少年要考驾照璐', 'entities': '人物：少年、璐\n地名：无\n机构：无\n位置：无'}
{'text': '老爸找到我扔的小鱼缸对我说：你不养小鱼了？我说：不养了老爸说：那留的吧、我养个小王八哈哈哈哈带着微博去旅行笑死我了', 'entities': '人物：老爸\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民哈哈哈哈笑死了以后我们监考也这样吧超级实用小百科老师您这是要赶尽杀绝吗？嘻嘻全球时尚最前线', 'entities': '人物：赵新民、小百科老师\n地名：无\n机构：无\n位置：无'}
{'text': '不转会很难过得意谢谢谢谢谢谢谢谢雪莹笑哈哈追美剧学英语本世纪最让人纠结的纹身他不纹，那么小的点会被人笑吧', 'entities': '人物：雪莹\n地名：无\n机构：无\n位置：无'}
{'text': '我叫赵新民一句脑残签名当马里奥大叔得了极品装备之后。。。', 'entities': '人物：赵新民、马里奥大叔\n地名：无\n机构：无\n位置：无'}
{'text': '微博有奖活动中心请活动官方解释沟通一下是不是存在什么误会请诚心对待支持你们的网友期待回复', 'entities': '人物：活动官方、网友\n机构：微博有奖活动中心\n地名：无\n位置：无'}
{'text': '这样的女人少之又少。', 'entities': '人物：这样的女人\n地名：无\n机构：无\n位置：无'}
{'text': '今天是感恩节，想了想，我要感恩的人是如此的多，用夸张的手法说多到只要在我生命中出现过的都是感谢父母养育了我，感谢老师教育了我，感谢闺蜜陪伴了我感谢对我好的人，也同样感谢伤害过我的人，让我变的更加坚强千千万万句感谢，送给可爱的你们爱你我在', 'entities': '人物：我、父母、老师、闺蜜、对我好的人、伤害过我的人、可爱的你们\n地名：无\n机构：无\n位置：无'}
{'text': '小圆子蓓蓓飛飛飛飛飛飛菲圆咕隆咚赵小姐同策何萍王麦宝心存善焉支持我支持雅漾，请到正大雅漾专柜体验雅雅带给您的从健康到美丽心', 'entities': '人物：小圆子、蓓蓓、赵小姐、同策、何萍、王麦宝\n地名：正大雅漾专柜\n机构：雅漾\n位置：正大雅漾专柜'}
{'text': '昨日做梦发生动乱，切身体会了无序和面临死亡的感觉。虽已醒来，记忆犹在。稳定比什么都重要。有点能理解当年小平的决策了。对新一届政府的期待：稳中求进，政治改革不宜狂风暴雨，应是润物细无声。', 'entities': '人物：没有明确指出句子中的人物。\n地名：没有明确指出句子中的地名。\n机构：没有明确指出句子中的机构。\n位置：没有明确指出句子中的位置。'}
{'text': '中午金钱豹自助，服务、菜品都越来越差了', 'entities': '人物：无\n地名：金钱豹\n机构：无\n位置：自助餐厅'}
{'text': '新的感悟，加油赞给你的公益之路爱你爱你爱你赞心月亮琪琪贝一', 'entities': '人物：你、琪琪贝一\n地名：无\n机构：无\n位置：无'}
{'text': '他剪个头从头到尾都没说过一句话，我要是理发师绝对瞎乱剪。希望他早日开通新浪微博，趁现在肚子还能摸的动。大鱼吃小鱼啤酒酱乔克', 'entities': '人物：他\n地名：无\n机构：新浪微博\n位置：无'}
{'text': '啦啦啦，哈哈阿里山休园，上不了。', 'entities': '人物：无\n地名：阿里山\n机构：无\n位置：休园状态'}
{'text': '不走这几条路就没路走了。冰激凌好像浦东大的路都毁了', 'entities': '人物：无\n地名：浦东大道\n机构：无\n位置：浦东区'}
{'text': '窝窝名品汇臭美妞の福利专场绚丽登场我来捧场。支持一下地址：', 'entities': '人物：无\n地名：无\n机构：窝窝名品汇\n位置：福利专场'}
{'text': '我叫赵新民一日一囧可好玩了哈哈哈哈', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无'}
{'text': '都说初一不出门，结果今天出去人多得吓死人。越来越没有过年的气氛，特别看见那些卖不出去的烟花爆竹，我就脚得有股淡淡的忧伤〜，虽然昨天群发了微信祝大家新年快乐，这里和我家胖胖再次煽情的祝福下〜今年收到的最有创意祝福是，有人祝我早生贵女，我勒个去', 'entities': '人物：我、胖胖\n地名：无\n机构：无\n位置：无'}
{'text': '幸好我们一家人都不在绵阳噢。庆幸啊', 'entities': '人物：我们一家人\n地名：绵阳\n机构：无\n位置：不在绵阳'}
{'text': '数学老师这么多作业请问你是疯了吗抓狂抓狂抓狂抓狂抓狂', 'entities': '人物：数学老师\n地名：无\n机构：无\n位置：无'}
{'text': '这个世界从此少了个急功近利的贪官，多了个平心静气的画家书法家又何尝不是一件善事呢。我在看新闻多名前高官狱中书画作品展出高清：多名前高官狱中书画作品展出来自腾讯新闻客户端', 'entities': '人物：前高官、画家、书法家\n地名：无\n机构：腾讯新闻客户端\n位置：狱中'}
{'text': '今天收到的健康定量调味瓶三件套绿￥很喜欢马上就用上了质量真心好颜色也正有新品丽芙小编要通知我呀以后买家居产品就选你们家了中国', 'entities': '人物：无\n地名：无\n机构：丽芙\n位置：中国'}
{'text': '麻痹这才是男盆友肿肿不要让我在等十八年了，你快出现好不好。疯子黄转发微博', 'entities': '人物：疯子黄\n地名：无\n机构：无\n位置：无'}
{'text': '我参与了投票您对铁道部处理温州动车追尾事故处理的满意吗？投给呸这个选项', 'entities': '人物：我\n机构：铁道部\n地名：温州\n位置：动车追尾事故处理'}
{'text': '海飞丝实力宝贝最美最有激情的实力宝贝，果断给她投票希望在中国赛上可以见到她的身影你们都支持哪位宝贝？', 'entities': '人物：海飞丝实力宝贝\n地名：中国赛\n机构：海飞丝\n位置：未指定'}
{'text': '偷微薄者死安东尼写给不二的情书我想带着不二，来一场说走就走的旅行', 'entities': '人物：偷微薄者、安东尼、不二\n地名：无\n机构：无\n位置：无'}
{'text': '我居然成功的忽悠了一通知识产权业务。你猜对了，哥真的回办公室了。', 'entities': '人物：我、哥\n地名：办公室\n机构：知识产权业务'}
{'text': '郁花若没去现场的都遭不住了，现场的你们还活着么李宇春演唱会你豆苗妈哈雷很配春拉哄', 'entities': '人物：郁花、李宇春、豆苗妈\n地名：无\n机构：无\n位置：演唱会现场'}
{'text': '我正说今天没啥吐槽点，结果我操的哪个傻货偷老子笔记本还连老子复印资料一起偷妈的有病吧块的笔记本你都看得上你家死了人没钱买纸要撕老子笔记本当纸钱吧妈了个比的', 'entities': '人物：我、傻货\n地名：无\n机构：无\n位置：无'}
{'text': '哈哈撒比啊我了个榴莲少女陈伊琼夏邦都好像在你那儿看到过。神秘震惊事件这个经典红唇让你想到谁？兔子', 'entities': '人物：陈伊琼\n地名：夏邦都\n机构：无\n位置：在你那儿\n\n经典红唇让你想到谁？ - 无特定人物\n\n兔子 - 无特定位置或人物'}
{'text': '题材很有现实意义，剧情摆脱了漫画风格，结局过于温馨以至于显得不那么深刻。弗里曼高龄啊从肖生克到现在', 'entities': '人物：弗里曼\n地名：肖生克\n机构：无\n位置：未提及'}
{'text': '我受不了装傻的人，我是狮子座苏歆我受不了我自己，我是双子座我受不了沒有常識的人，我是水瓶座', 'entities': '人物：苏歆\n星座：狮子座、双子座、水瓶座\n地名：无\n机构：无\n位置：无'}
{'text': '定安今天月日天气：大到暴雨，℃℃，东北风级，空气质量：较好分享自微心情', 'entities': '人物：无\n\n地名：定安\n\n机构：无\n\n位置：无'}
{'text': '罗拉所有机锁：按西门子恢复出厂设置：西门子乱文回中文：西门子软件版本：左键爱立信老机回英语：爱立信新机回英语：按左键右键', 'entities': '人物：罗拉\n地名：无\n机构：西门子、爱立信\n位置：无'}
{'text': '坐公交，车上有一女，上来一男，此男笨手笨脚，将那女的脚踩了一下，女说：有病啊，再踩让你断子绝孙。男说：再骂我让你子孙满堂。内涵图片段子', 'entities': '人物：一女，一男\n地名：无\n机构：公交车\n位置：车上'}
{'text': '王巍这与任志强讲不给穷人盖房子是一个路数吗怒头条新闻转发微博', 'entities': '人物：王巍、任志强\n地名：无\n机构：怒头条新闻\n位置：无'}
{'text': '今天实在有点忙碌哦，一家单位要送个饺子，一个人又做又送的有点团团转啦，送晚了希望见谅哦因为大家的时间段都差不多，所以高峰时期如果能自提的最好来盛世天城自提哦，希望大家的支持和理解啦爱你爱你爱你', 'entities': '人物：无\n地名：盛世天城\n机构：无\n位置：无'}
{'text': '武汉学院心理咨询中心预祝广播台演出活动圆满成功', 'entities': '人物：无\n地名：武汉学院\n机构：心理咨询中心、广播台\n位置：无'}
{'text': '世事难料泪司机走好蜡烛宝宝走好蜡烛百度第二司机泪泪泪泪泪泪伤心伤心伤心伤心伤心伤心蜡烛蜡烛蜡烛蜡烛蜡烛蜡烛', 'entities': '人物：泪司机、宝宝、第二司机\n地名：百度\n机构：无\n位置：未知'}
{'text': '我叫赵新民送给十二星座的封信扑克牌不为人知的知识', 'entities': '人物：赵新民\n地名：无\n机构：无\n位置：无'}
{'text': '删我微博的系统管理员就是整天泡粪池的死猪明天怎么穿人生就像愤怒的小鸟，当你失败的时候总会有几只猪在笑', 'entities': '人物：删我微博的系统管理员、死猪、几只猪\n地名：无\n机构：无\n位置：粪池'}
{'text': '来看刚才上线点赞了几张照片，博君随意翻了下，看正数第三张关于这个小孩，发照片的人艾特了一个账号，看了下这个账号就是照片中小孩的吧，再翻一翻，啊哟小孩和以及妞麻有很多合照，也关注了但是没有关注。怎么说呢，两只弯弯曲曲总是连上线，就看你能不能发现。', 'entities': '人物：博君、小孩、发照片的人、妞麻；\n地名：无；\n机构：无；\n位置：无。'}
