{'text': '漫步在这山间的小道上', 'predict': '关系名：Located'}
{'text': '也马不停蹄地寻觅着、追逐着、奔波着', 'predict': '这个句子中的\'马\'和\'蹄\'属于"Part-Whole"（部分-整体）关系。'}
{'text': '倘若你尚未踏上过西藏的大地，自然会纳闷：在这方号称“世界第三极”', 'predict': "'西藏的大地'和'西藏'属于Located关系。"}
{'text': '洞中有仙人培植的盆景，为瀑布增添了风采', 'predict': '关系名：Located'}
{'text': '当包谷杆上长出第一个包谷棒时', 'predict': "句子中的'包谷杆上'和'包谷棒'属于'Part-Whole'（部分-整体）关系。"}
{'text': '乡里从村里选拔文艺骨干参加县里的汇演，他俩就是那时认识的。他会拉，她会唱;她台上', 'predict': "'村里'属于'Located'关系，'他俩'属于'Social'关系。"}
{'text': '儿子点点头，表示很赞同我的观点。', 'predict': '关系：Family'}
{'text': '人人都有自己的梦想，有的想做医生，有的想做将军，有的想做科学家……而我的心里也一直有一个梦想：我要与爱同行', 'predict': "关系名：General-Special\n\n'人人'和'科学家'与整个句子的主题都有一般性的关系，属于General-Special关系。"}
{'text': '眉山文化地理环境优势独特九天一出四川盆地，产生成都平原腹地。', 'predict': 'Located'}
{'text': '看门外的车来车往。', 'predict': 'Part-Whole（部分-整体）'}
{'text': '有一户姓苟的船民常年在淮河行船做生意。家里有妻子和一个呆傻的儿子。', 'predict': "'淮河'属于Located关系，'一个呆傻的儿子'属于Part-Whole关系。"}
{'text': '唐师母一脸怒气点着我脑门数说道', 'predict': "关系：Part-Whole\n\n'我脑门'属于'我'的一部分，因此它们之间的关系是Part-Whole。"}
{'text': '只能用我们内心的毅力和自信的眼神给您最有力的支持和帮助。母亲，您是辛苦的!', 'predict': '关系：Social, Family'}
{'text': '鱼头刺多，你们吃，不注意会卡喉。”', 'predict': "句子中的'鱼头'和'你们'属于“Part-Whole”（部分-整体）关系。"}
{'text': '见到我那两鬓斑白的母亲啊!', 'predict': "'我'和'母亲'属于'Family'（家庭）关系，'两鬓'和'母亲'属于'Part-Whole'（部分-整体）关系。"}
{'text': '大概从没有这条小径的时候我的脚印就曾经在这里留下过长长的蜿蜒的蛛丝马迹。', 'predict': '这两个词语属于"Located"（位置）关系。'}
{'text': '“你们平时只知道钩蚬子，吃蚬肉，喝蚬汤，拿蚬子卖钱花', 'predict': '关系名：Social'}
{'text': '似乎只有灵魂附在羽毛上，在空中飘荡。', 'predict': "'羽毛'和'空中'属于'Located'（位置）关系，因为它们描述了灵魂所在的位置。"}
{'text': '传说他的小茶壶内灌的是黄酒', 'predict': 'Part-Whole（部分-整体）关系，因为“他的小茶壶”是“他”的一部分。'}
{'text': '这样小船就被固定在河水中，于是我们就坐在小船上', 'predict': "'小船'属于'Part-Whole'关系。"}
{'text': '小时候看到老年人，冬季有的穿着大棉袍子坐在炕头上', 'predict': '句子中的\'老年人\'和\'大棉袍子\'属于"Located"（位置）关系，因为它们都被描述在特定的位置上，即老年人穿着大棉袍子坐在炕头上。'}
{'text': '女儿一撅嘴，撒娇地说：“爸爸在家里是第三把手。”', 'predict': '关系：Family（家庭关系），Part-Whole（部分-整体关系）。\n\n女儿是家庭成员，属于家庭关系；嘴是女儿身体的一部分，属于部分-整体关系。'}
{'text': '“没用的东西，河里这么多的水船都没涮干净', 'predict': '属于"Located"（位置）关系。'}
{'text': '两侧是陡峭的悬崖，崖壁由层层叠叠的红岩构成。', 'predict': 'Part-Whole'}
{'text': '因生活困难，他没多余的钱为我们买书读', 'predict': "'他'和'我们'属于家庭关系。"}
{'text': '现在，老曹家住城南村的农民集中居住片。', 'predict': '老曹家和城南村的农民集中居住片属于"Located"关系，即老曹家位于城南村的农民集中居住片中。'}
{'text': '后来，我们长大一点，姐姐就帮母亲烧火煮饭，我和哥哥就到田边井里取水', 'predict': "'我们'属于'Family'关系，'火'属于'Part-Whole'关系。"}
{'text': '亲人、朋友、相识的与不相识的人们，总有一份埋怨、不解、困惑------，然而爷爷却执着而坚定地履行着他作为一名共产党员的职责。', 'predict': '关系：亲人、朋友、相识的与不相识的人们'}
{'text': ')流进了放好的木盆里，杀猪匠、主人家和帮忙的人均松了一口气;此时', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '莫扎特的歌曲让我联想起朱自清的那篇名作《春》', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '我的故乡是与西柏坡毗邻的夹峪村，<N>年我快乐地考入西柏坡完小学习。', 'predict': "'夹峪村'属于'Located'关系，'<N>年'属于'Unknown'关系。"}
{'text': '我和伙伴们从水边摸来螺蛳，砸碎坚壳', 'predict': '属于"Located"关系，因为"水边"和"螺蛳"是在句子中的位置关系。'}
{'text': '更无一人想起父亲干涉过自己的丁点小事，就连我们姊妹五人的婚姻大事', 'predict': '关系：Family'}
{'text': '尔后又到银材图书室参观，并采访了有关创建图书室的初衷及捐资赠书情况(图书室是<N>年在村委和谢松生老人的大力支持下创建的)。', 'predict': "'图书室'和'村委'属于'Part-Whole'关系。"}
{'text': '西藏丰富的水资源，珍藏着无数的奥秘', 'predict': '属于"Located"关系，因为"西藏丰富的水资源"被定位在西藏这个地方。'}
{'text': '他由摆子而转伤寒，虽经抢救，但<N>天后仍然永远的离开了他的战友，他在保护战友口粮的战斗中用生命与暴风雨作了最后的斗争。', 'predict': "'他'属于'General-Special'关系，'<N>天后'属于'Part-Whole'关系。"}
{'text': '爱，她并不希望只有孤独相伴。在大姐毛彦文出资安排和亲友的帮助下', 'predict': '关系：Social'}
{'text': '，他有两个儿子都在上大学', 'predict': "'他'和'两个儿子'属于'Family'（家庭）关系。"}
{'text': '黄河长江是中国最宝贵的河道，长江成为中国内河航运的大动脉，长江长<N>千米，水系河道<N>.<N>余万米。', 'predict': '\'中国最宝贵的河道\'和\'长江\'属于"Part-Whole"（部分-整体）关系。'}
{'text': '眼前便出现前后数进的明清建筑，天井里的几株古银杏和广玉兰，好像在静候昔日主人的归来。', 'predict': "'天井里的几株古银杏和广玉兰'和'天井里'属于'Part-Whole'关系，因为它们是明清建筑的一部分。"}
{'text': '他由摆子而转伤寒，虽经抢救，但<N>天后仍然永远的离开了他的战友，他在保护战友口粮的战斗中用生命与暴风雨作了最后的斗争。', 'predict': "句子中的'他'和'他的战友'属于'General-Special'（泛指特指）关系。"}
{'text': '但长城到底有多长?据史料记载：明长城长：<N>.<N>千米。', 'predict': "'长城'和'明长城'属于Part-Whole关系。"}
{'text': '在大姐毛彦文出资安排和亲友的帮助下，毛辅文已经和她的父母亲在西山的坟茔中团聚', 'predict': "'毛辅文'和'她的父母'属于'Family'（家庭）关系。"}
{'text': '床铺上住着老鼠，灶台上住着蚂蚁，瘪了的稻囤被老鼠嚼得稀巴烂', 'predict': '\'灶台上\'和\'蚂蚁\'属于"Located"关系。'}
{'text': '他与岐伯(甘肃庆城县人)两个多才多艺', 'predict': '岐伯和甘肃庆城县人属于"Unknown"关系，因为句子中没有明确说明它们之间的关系类型。'}
{'text': '乡里从村里选拔文艺骨干参加县里的汇演，他俩就是那时认识的。他会拉，她会唱;她台上', 'predict': '关系：Social'}
{'text': '电梯公寓，书房坐落在北面，整爿墙为窗玻璃，太阳直射，阳光普照。我坐在电脑桌前凝望窗外的天空', 'predict': 'Part-Whole (部分-整体)关系。因为书房和电脑桌都是电梯公寓的一部分。'}
{'text': '巴老住院期间，家人把敞廊加上门窗', 'predict': 'Family (家庭关系)'}
{'text': '有一户姓苟的船民常年在淮河行船做生意。家里有妻子和一个呆傻的儿子。', 'predict': "'船'属于'Located'关系，'一个呆傻的儿子'属于'Part-Whole'关系。"}
{'text': '足够一年吃的;还有一满甏腌得淌黄油的咸鸭蛋。', 'predict': "句子中的'黄油'和'咸鸭蛋'属于Part-Whole关系，因为它们是整个描述中的一部分。"}
{'text': '我与老伴带上外孙，去体育中心锻炼。外孙最喜欢爬高和爬太空球', 'predict': "'老伴'属于'Family'关系，'外孙'属于'Part-Whole'关系。"}
{'text': '用两块一尺多长见方玻璃固定在墙上', 'predict': 'Part-Whole (部分-整体)关系。因为“玻璃”和“墙”是构成整个物品的一部分。'}
{'text': '而后大叔和大婶两个人就点了一盏小马灯', 'predict': 'Part-Whole（部分-整体）关系，因为句子中的“大叔”是整体，“一盏”是部分。'}
{'text': '我的奶妈牵着我的小手奔向嘉陵江边。', 'predict': "'我的小手'和'我'属于'Part-Whole'（部分-整体）关系。"}
{'text': '女士似乎觉得腿疼，撩起裙子一看，两腿摔得青一块紫一块', 'predict': '关系：Part-Whole'}
{'text': '张继善坚信，靠一双手一切艰难困苦都会改变。', 'predict': '关系：General-Special'}
{'text': '有人说大衣铺在受伤的林业工人担架上了', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '绿荫中有了红葩的点染', 'predict': '这句话中的关系是"General-Special"，其中"绿荫中"是一般概念，"红葩"是具体的特殊事物。'}
{'text': '丈夫将王氏狠狠地揍了一顿。婆婆挨了揍出了丑，怀疑是蔡妮坏了自己的好事', 'predict': "'丈夫'和'王氏'属于'Family'关系，'蔡妮'和'婆婆'属于'Social'关系。"}
{'text': '“春天像刚落地的娃娃，从头到脚都是新的”', 'predict': 'Part-Whole（部分-整体）'}
{'text': '我看见母亲那颗苦涩的心在滴血，在呻吟。', 'predict': '关系：Family (家庭关系)'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'酒城'和'丝绸之乡'都属于关系名为'General-Special'的关系。"}
{'text': '那时候，母亲工作很忙。她总是黎明前就起床煮饭。我常常在清晨睁开朦胧的眼睛，看见她在灶前烧火', 'predict': '关系：Family'}
{'text': '门厅右手边是餐厅，左手是厨房。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '它们经历千百年风刀沙斧的讨伐，有的头断臂折，有的皮撕肉裂', 'predict': "句子中的'它们'属于Part-Whole（部分-整体）关系，而'有的'属于General-Special（普通-特殊）关系。"}
{'text': '是用电锯、电子、电钻等现代木工工具，省工省时效率高', 'predict': "'电子'和'现代木工工具'属于'Part-Whole'关系，因为它们是现代木工工具的一部分。"}
{'text': '我想我做好了准备，体育练就了一双有力的双臂，强得可以把爱的份量捧起', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '它们经历千百年风刀沙斧的讨伐，有的头断臂折', 'predict': "句子中的'它们'属于General-Special关系，'有的'属于Part-Whole关系。"}
{'text': '江面映闪着蓝天白云，两岸散布着绿树丛草。', 'predict': "'两岸'和'绿树丛草'属于'Located'关系。"}
{'text': '生产队长娇守云对我说：这几天东南沟蜂场有黑瞎子搬蜂箱', 'predict': "'我'和'这几天'属于时间关系。"}
{'text': '在它的下端弯成一个小钩，并将小钩磨得尖尖的。然后将上端绑在一根长长的竹杆上(河水越深用的竹杆就越长)。', 'predict': "关系：Part-Whole\n'它'指代的是上文提到的某个物品的一部分，'一根'是这个物品的另一部分，它们属于Part-Whole关系。"}
{'text': '当我的双脚踏上澳大利亚时', 'predict': '关系名：Located'}
{'text': '我深深的感觉到你仍炽热的心，我热爱的事业和你生命一起。', 'predict': '关系：Unknown'}
{'text': '翻过那个小山头不远处地上有一滩血，黑瞎子曾在这里歇气。', 'predict': "'地上'属于'Located'关系，'黑瞎子'属于'Social'关系。"}
{'text': '山湾湾里、溪水两旁和房前房后都是一丛丛青青的黄竹，它们与青山绿水组成绿色的海洋', 'predict': "'房前房后'属于'Located'关系，'黄竹'属于'Part-Whole'关系。"}
{'text': '为了爬上公盂背顶峰，我们几乎是徒手攀岩，手脚并用，甚至借助于自备的绳索', 'predict': "'我们'和'绳索'属于'Use'关系。"}
{'text': '一天辛辛苦苦伐不多少;而现在使用油锯、割灌机伐木头，归楞、装车用装载机，快捷省力省时间，现代的林业工人是幸福的。', 'predict': "'油锯'属于'Use'关系，'现代的林业工人'属于'General-Special'关系。"}
{'text': '真像是一块镶嵌在雪峰绿坡间的硕大翡翠。', 'predict': 'Part-Whole（部分-整体）关系。'}
{'text': '门口挂着彩球和大红灯笼，棚里电灯通明，摆了<N>张圆桌，每张桌上已放了<N>个冷菜盘', 'predict': '关系：Located, Part-Whole'}
{'text': '最突出的就是村前村后的两座山，村前靠南边的山叫前门山，是瓶窑人的宝库。', 'predict': "'山'属于'Part-Whole'（部分-整体）关系，而'前门山'属于'Located'（位置）关系。"}
{'text': '他头发胡子显然得到了修整。穿一件毛领黄色皮大衣，戴一顶翻毛黄军帽，再蹬一双翻毛黄皮鞋，俨然一副军官相。他手指上还钩着一个“保温杯”', 'predict': '关系：Part-Whole\n\n他的头发属于他的一部分，因此属于Part-Whole关系。'}
{'text': '我来到我的邻居好友、资深画家朱介堂家', 'predict': '\'我的邻居好友、资深画家朱介堂\'属于"General-Special"关系，\'资深画家\'属于"Part-Whole"关系。'}
{'text': '甄黛玉的儿子、儿媳、女儿、女婿得知母亲住院，都蜂拥似的赶到医院探视。女儿哭诉着对高梓泰说：“我们兄妹几岁，父亲就去世了', 'predict': "关系：Family\n\n'mother'和'几岁'属于Family关系，因为这些词涉及到家庭成员。"}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'彭祖山'和'犍为郡'属于'General-Special'（一般特殊关系）。"}
{'text': '同时胎儿也是幸福的;刚翻身时的孕妇生育，掀开炕席铺上草，孩子哇一生落草而生', 'predict': "'炕席'和'孩子'属于'Part-Whole'（部分-整体）关系。"}
{'text': '东南院里(王恩典的前院)是小学一年级', 'predict': '根据句子“东南院里(王恩典的前院)是小学一年级”，可以判断出“王恩典的前院”是“东南院里”的一部分，因此它们属于“Part-Whole”（部分-整体）关系。而“王恩典”并没有明确的关系，因为它在句子中并没有被提及到。'}
{'text': '那个时候的我对于这种商场策略性的营销已经很反感了，但是母亲却还是每次都乐在其中', 'predict': "句子中的'我'和'母亲'属于'Family'（家庭）关系。"}
{'text': '我也和上。心想：你牛儿<N>挂零了吧!当初我们同在一个生产队里挣工分', 'predict': "根据句子中的描述，'我'和'牛儿'属于Social（社交）关系，因为他们曾经在同一个生产队里工作并一起挣工分。"}
{'text': '盼望五爷、五奶能看到他。', 'predict': 'Family'}
{'text': '鱼米之乡(岷江、沱江、青衣江均在犍为郡)、佳茗之乡、美酒之乡(今酒城、酒都、茅台等均属犍为郡)、丝绸之乡、旅游之乡(峨眉山、瓦屋山、彭祖山等山川均在犍为郡)', 'predict': "'沱江'属于关系名'鱼米之乡'，'峨眉山'属于关系名'旅游之乡'。"}
{'text': '倏忽，银色灯光在舞台左侧刷地齐明', 'predict': 'Part-Whole（部分-整体）关系。'}
